video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=OQhKuDAsv5Q&pp=ygUGbGF5b2Zm,/@thehill,The Hill,"HOLLYWOOD IN SHAMBLES: Anne Hathaway WALKS OUT, LA Times LAYOFFS, Hillary Clinton SLAMS OSCARS",151K,4 days,Briahna Joy Gray and Robby Soave react to Anne Hathaway's walk-out at a Vanity Fair photoshoot this week due to a union ...,2024-01-29 07:49:45.148139
/shorts/6-GVrjZEShQ,/@Workitdaily,Work It Daily,How EMPLOYERS choose who to layoff,6.2K,9 months,"Have you ever wondered how employers choose who to layoff? We'll let you in on the secret! For more free career advice, ...",2024-01-29 07:49:45.149499
/watch?v=DS5b-OtkvHI&pp=ygUGbGF5b2Zm,/@Foxla,FOX 11 Los Angeles,Massive layoffs hit the Los Angeles Times,37K,4 days,It's a painful morning at the LA Times following a massive round of layoffs. Subscribe to FOX 11 on YouTube: ...,2024-01-29 07:49:45.153223
/watch?v=lo1HRGl1CvE&pp=ygUGbGF5b2Zm,/@jomakaze,Joma Tech,Let's talk about Tech Layoffs | tech news,1.4M,11 months,"I'm still playing around with the new format. I'm not sure what I want to do, but I know I want to talk about current events, especially ...",2024-01-29 07:49:45.155798
/watch?v=vHdQIKRObMI&pp=ygUGbGF5b2Zm,/@ReforgeGaming,Reforge Gaming,Xbox Layoffs - What's Next?,4.2K,Streamed 2 days,Sitting down with @30nsg to discuss the Xbox layoffs and what's next. The latest Xbox news is a rough start to 2024. And the Xbox ...,2024-01-29 07:49:45.157503
/watch?v=52ktAKONsd8&pp=ygUGbGF5b2Zm,/@gamefromscratch,Gamefromscratch,Unity Announce MASSIVE Layoffs - 25% of Company!,21K,2 weeks,The bad news for the world of game developers continues into 2024 with an announcement of massive layoffs at Unity. While this ...,2024-01-29 07:49:45.159416
/watch?v=MrnsucEEvGQ&pp=ygUGbGF5b2Zm,/@TheView,The View,Sharing Your Layoff On Social Media? | The View,76K,9 days,Subscribe to our YouTube channel: http://bit.ly/2Ybi4tM MORE FROM 'THE VIEW': Full episodes: http://abcn.ws/2tl10qh Twitter: ...,2024-01-29 07:49:45.160851
/watch?v=5Oi2_zpSDYg&pp=ygUGbGF5b2Zm,/@kcalnews,KCAL News,Pizza Hut to lay off thousands of California workers,233K,1 month,"Pizza Hut is set to lay off more than 1200 delivery drivers in Los Angeles, Orange and Riverside counties in the coming year, ...",2024-01-29 07:49:45.162155
/shorts/QqbvNrrQ6ho,/@SimonSinek,Simon Sinek,The Damaging Impact of Mass Layoffs,60K,9 months,Start by practicing empathy. + + + Simon is an unshakable optimist. He believes in a bright future and our ability to build it together ...,2024-01-29 07:49:45.163611
/watch?v=l3lw7iWNjfU&pp=ygUGbGF5b2Zm,/@CNBCtelevision,CNBC Television,Google CEO says more job cuts needed in 2024 to reach ‘ambitious goals’,24K,10 days,CNBC's Jennifer Elias joins 'Power Lunch' to report on Google's warning of more job cuts to come.,2024-01-29 07:49:45.165012
/watch?v=OS4zCjemTjI&pp=ygUGbGF5b2Zm,/@YongYea,YongYea,"Unity Leadership Continue To Be The Absolute Worst, Lay Off 25% Of Staff",100K,2 weeks,TOP PATRONS [BIG BOSS] - Devon B - gergely oggolder - Jonathan Ball [BOSS] - Charlie Galvin - Gerardo Andrade - Marketing ...,2024-01-29 07:49:45.166813
/watch?v=dYJnYy_wbm0&pp=ygUGbGF5b2Zm,/@markets,Bloomberg Television,"Microsoft to Cut 1,900 Gaming Jobs",11K,3 days,"Microsoft will lay off 1900 people across its video-game divisions including at Activision Blizzard, which it purchased for $69 billion ...",2024-01-29 07:49:45.168249
/watch?v=pTvXkd4JstU&pp=ygUGbGF5b2Zm,/@businessstandard,Business Standard,What will 2024 hold for layoffs in India?  #TMS,26K,5 days,"Within the first three weeks of January 2024, more than 7500 employees got laid off globally. It doesn't bode well for India too.",2024-01-29 07:49:45.169648
/watch?v=VoIR-cfzEQk&pp=ygUGbGF5b2Zm,/@WRAL5,WRAL,Most of Sports Illustrated staff is laid off,3.8K,9 days,"The publisher of Sports Illustrated is laying off much of the magazine's entire staff. First reported by Front Office Sports, came less ...",2024-01-29 07:49:45.170982
/shorts/63rHwbs0Qzw,/@wallstreetoasis,Wall Street Oasis,Google Layoffs #techlayoff #Google #shorts,140K,11 months,A day in my life getting laid off at Google so I woke up to this really ominous text for my boss and I honestly had no idea what it was ...,2024-01-29 07:49:55.052300
/watch?v=8GbObOBOzB8&pp=ygUGbGF5b2Zm,/@JayWood2010,JayWood2010,What Is Happening with MASS Xbox Layoffs? | Pokemon is Investigating Palworld | News Dose,11K,3 days,Timestamps 0:00 Intro 1:11 Mass Xbox Layoffs 11:02 Pokemon Company is Investigating Palworld Sources: ...,2024-01-29 07:49:55.056294
/watch?v=QmRI3ZNdCw4&pp=ygUGbGF5b2Zm,/@KindaFunnyGames,Kinda Funny Games,Huge Layoffs Hit Xbox & Activision Blizzard - Kinda Funny Games Daily LIVE 01.25.24,17K,Streamed 3 days,"Sign up for the Kinda Funny Membership to get ad-free shows, live recordings, and daily Greg Miller vlogs.",2024-01-29 07:49:55.060371
/watch?v=ydQArbXx3HI&pp=ygUGbGF5b2Zm,/@MegynKelly,Megyn Kelly,"What's Behind Massive Layoffs at Los Angeles Times and Sports Illustrated, with Andrew Klavan",281K,3 days,"Megyn Kelly is joined by Andrew Klavan, author of ""The House of Love and Death,” to discuss major layoffs at the Los Angeles ...",2024-01-29 07:49:55.063730
/watch?v=hnW83TFrpAI&pp=ygUGbGF5b2Zm,/@Firstpost,Firstpost,Mass Layoff Wave: Why are Tech Companies Still Cutting Jobs? | Vantage with Palki Sharma,183K,4 days,Mass Layoff Wave: Why are Tech Companies Still Cutting Jobs? | Vantage with Palki Sharma America's leading newspaper Los ...,2024-01-29 07:49:55.066894
/watch?v=cgnIHkBR3H8&pp=ygUGbGF5b2Zm,/@TheKrazyKoala,The Krazy Koala,Alibaba/Lazada Layoff Scandal: I Quit My Job in Singapore,17K,2 days,"#singapore #lazadalayoff #singaporejobs ============================ To join my monthly live video chat, please join my ...",2024-01-29 07:49:55.069597
